,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
42171,p46019,7,25227,270.0,106603.39,129371.034,-22767.644,19.501,60.798
42172,p46019,8,23325,246.0,243288.13,265542.694,-22254.563,48.283,139.151
42173,p46019,8,23326,258.0,213829.544,244176.975,-30347.431,48.08,172.715
42174,p46019,8,23327,270.0,182555.51,217832.867,-35277.357,41.054,175.801
42175,p46019,8,23328,276.0,158991.266,195233.635,-36242.369,33.6,191.098
42176,p46019,8,23329,270.0,132078.648,169687.609,-37608.961,26.848,190.259
42177,p46019,8,23708,258.0,112612.251,146303.138,-33690.887,23.237,180.932
42178,p46019,8,24083,252.0,117049.597,110970.434,6079.163,15.3,139.151
42179,p46019,8,24084,264.0,132663.351,145966.125,-13302.774,22.791,132.47
42180,p46019,8,24089,252.0,42334.365,77161.237,-34826.872,6.745,183.629
42181,p46019,8,24463,276.0,85792.986,74316.893,11476.094,5.737,134.882
42182,p46019,8,24464,264.0,108745.454,122929.227,-14183.772,18.704,119.16
42183,p46019,8,24465,276.0,123641.287,156218.718,-32577.431,25.15,119.594
42184,p46019,8,24466,282.0,98670.591,133647.02,-34976.429,21.507,159.787
42185,p46019,8,24469,270.0,19233.901,60317.831,-41083.93,3.722,177.794
42186,p46019,8,24846,276.0,103650.857,121369.482,-17718.624,19.0,153.967
42187,p46019,8,24847,276.0,52262.661,80565.432,-28302.77,7.331,153.967
42188,p46019,8,25225,270.0,99805.577,108036.248,-8230.671,13.914,77.813
42189,p46019,8,25228,276.0,119684.468,159345.495,-39661.027,24.642,60.618
42190,p46019,8,25229,294.0,110358.655,156995.257,-46636.603,25.187,103.675
42191,p46019,9,23323,270.0,201679.511,218496.574,-16817.062,39.085,139.151
42192,p46019,9,23324,252.0,221027.356,238166.194,-17138.838,43.111,139.151
42193,p46019,9,23703,264.0,152154.721,161674.034,-9519.313,27.341,139.151
42194,p46019,9,23704,264.0,169180.131,189504.884,-20324.752,31.697,139.151
42195,p46019,9,23705,270.0,194285.599,222686.044,-28400.446,39.414,132.178
42196,p46019,9,23706,270.0,174902.418,206390.749,-31488.331,37.752,161.509
42197,p46019,9,23707,282.0,132964.052,168953.675,-35989.623,30.418,172.715
42198,p46019,9,24085,264.0,160525.506,180217.206,-19691.7,31.719,129.437
42199,p46019,9,24086,282.0,129462.809,157232.62,-27769.811,27.966,159.787
42200,p46019,9,24087,276.0,95371.113,126757.122,-31386.009,20.946,164.011
42201,p46019,9,24088,270.0,65581.966,99985.467,-34403.501,13.242,175.801
42202,p46019,9,24467,282.0,60740.091,91990.72,-31250.629,10.514,159.787
42203,p46019,9,24468,276.0,24659.339,59911.344,-35252.006,3.377,168.618
42204,p46019,9,24848,270.0,33988.679,67428.838,-33440.159,5.031,155.895
42205,p46019,9,24849,282.0,59182.264,101446.881,-42264.617,13.841,169.254
42206,p46021,6,21068,240.0,65503.546,69514.998,-4011.452,4.68,425.841
42207,p46021,7,21067,258.0,75048.954,84686.672,-9637.719,6.877,425.931
42208,p46021,7,21069,252.0,113311.036,119330.498,-6019.462,16.424,425.841
42209,p46021,7,21070,258.0,68363.068,75151.724,-6788.656,5.609,468.49
42210,p46021,7,21449,234.0,116827.573,123036.728,-6209.155,16.948,414.548
42211,p46021,7,21827,258.0,111884.57,122496.375,-10611.805,17.177,387.138
42212,p46021,7,21829,252.0,141401.155,151849.614,-10448.458,23.197,389.14
42213,p46021,7,21830,246.0,152687.092,162558.524,-9871.433,24.629,421.598
42214,p46021,8,21447,258.0,69465.966,82055.342,-12589.375,6.449,413.738
42215,p46021,8,21448,246.0,67743.531,74607.056,-6863.525,5.167,414.098
42216,p46021,8,21450,258.0,64164.973,75255.424,-11090.451,5.692,472.798
42217,p46021,8,21828,258.0,103906.826,115060.314,-11153.488,15.473,389.14
42218,p46023,7,31716,246.0,121260.434,121718.301,-457.867,14.212,229.215
42219,p46023,7,32478,252.0,114286.381,109981.818,4304.563,12.947,201.578
42220,p46023,7,32860,264.0,146970.334,149433.892,-2463.558,21.591,184.745
42221,p46023,8,30573,258.0,455072.136,461620.299,-6548.163,59.678,312.396
42222,p46023,8,30574,258.0,174775.569,168106.115,6669.454,26.332,271.651
42223,p46023,8,30576,258.0,74356.92,57614.916,16742.003,3.029,264.906
42224,p46023,8,30955,270.0,134167.068,128149.088,6017.98,18.274,253.214
42225,p46023,8,31335,252.0,160890.14,165997.215,-5107.075,22.529,242.549
