,region,class,sc_point_gid,capacity,supply_curve_cost_per_mw,trans_adder_per_mw,capital_adder_per_mw,dist_spur_km,dist_reinforcement_km
14924,p21039,2,55726,859.099,68573.739,70216.234,-1642.495,7.529,262.506
14925,p21041,1,47771,236.541,99889.214,57275.293,42613.921,0.975,100.577
14926,p21041,1,47772,342.752,85113.541,44334.642,40778.899,0.435,137.212
14927,p21043,1,47786,121.236,295660.71599999996,323982.806,-28322.09,14.352,313.745
14928,p21043,1,48166,184.428,424863.214,445228.436,-20365.222,27.495,289.881
14929,p21043,1,48167,127.185,353512.949,372160.554,-18647.605,27.883,139.237
14930,p21043,1,48168,111.355,277650.971,245500.054,32150.917,11.246,139.237
14931,p21043,1,48545,103.856,180908.817,201897.136,-20988.319,8.924,289.881
14932,p21043,1,48546,114.312,347318.294,352950.736,-5632.442,22.997,289.881
14933,p21043,1,48547,88.075,452141.404,475062.554,-22921.15,30.656,139.237
14934,p21043,1,48548,51.587,339962.53,358187.754,-18225.224,21.088,139.237
14935,p21045,1,52334,198.475,102143.913,123793.97,-21650.057,5.298,292.365
14936,p21045,1,52335,310.743,188060.67500000002,195511.325,-7450.65,16.187,275.618
14937,p21045,1,52714,459.293,109319.469,115840.637,-6521.168,5.665,286.486
14938,p21045,1,52715,260.448,93334.568,86519.595,6814.973,3.318,276.143
14939,p21045,1,53095,299.263,161310.751,170700.829,-9390.078,8.924,270.99
14940,p21045,2,52716,337.544,178220.296,184835.935,-6615.639,12.31,270.009
14941,p21045,2,53094,352.281,183069.32,184385.217,-1315.897,15.778,276.18
14942,p21045,2,53096,305.271,95137.95000000001,103727.441,-8589.491,4.938,261.755
14943,p21045,2,53475,356.151,134503.978,139936.025,-5432.047,18.084,254.758
14944,p21047,2,54595,710.267,75043.93,84024.284,-8980.354,8.641,118.393
14945,p21047,2,54596,666.949,85597.567,86475.825,-878.258,17.539,108.035
14946,p21047,2,54597,476.593,45934.168,53737.665,-7803.497,6.894,108.035
14947,p21047,2,54598,332.066,31755.121,39947.162,-8192.041,0.509,97.525
14948,p21047,2,54976,593.434,50993.647,40068.845,10924.802,0.757,103.064
14949,p21047,2,54977,607.79,53058.189,37456.404,15601.785,0.435,91.121
14950,p21047,2,54978,578.948,41598.971,49016.744,-7417.773,2.241,77.695
14951,p21047,2,55356,253.594,253097.232,58839.99,194257.242,8.641,106.693
14952,p21047,2,55357,194.341,375439.65,23740.983,351698.667,1.453,110.664
14953,p21047,2,55736,364.043,118998.93599999999,67573.093,51425.843,12.8,131.449
14954,p21047,2,55737,241.797,99180.99100000001,36111.873,63069.118,4.109,131.449
14955,p21047,2,56116,173.826,112249.66500000001,69790.903,42458.762,14.45,131.449
14956,p21047,2,56117,103.975,273108.21400000004,52171.628,220936.586,2.278,127.775
14957,p21049,1,49680,646.727,123820.544,81609.796,42210.748,2.976,266.259
14958,p21049,1,50060,441.052,119456.48300000001,72939.026,46517.457,2.316,281.178
14959,p21049,1,50439,349.098,74200.932,34999.96,39200.972,0.0,261.282
14960,p21049,1,50440,256.965,58635.94899999999,49649.914,8986.035,0.562,273.315
14961,p21049,2,49679,460.797,129943.277,36519.157,93424.12,0.09,251.385
14962,p21049,2,50059,312.645,625044.6749999999,108648.977,516395.698,5.078,285.622
14963,p21051,1,52723,20.383,59822.78600000001,83295.766,-23472.98,1.326,341.033
14964,p21051,1,52724,14.193,259043.86399999997,286399.176,-27355.312,14.65,343.954
14965,p21051,1,53102,60.44,179400.124,202051.467,-22651.343,12.602,309.754
14966,p21051,1,53103,18.025,243043.786,237531.266,5512.52,9.6,344.224
14967,p21051,1,53104,20.574,346815.04,373781.376,-26966.336,17.683,343.954
14968,p21051,1,53483,21.508,422599.91400000005,449858.976,-27259.062,30.375,302.854
14969,p21051,1,53484,9.725,440230.56200000003,469424.666,-29194.104,28.181,344.224
14970,p21051,1,53485,9.864,253851.36100000003,284222.639,-30371.278,6.788,110.656
14971,p21053,1,55374,272.921,96777.497,69783.306,26994.191,5.786,208.426
14972,p21053,2,54994,229.714,61217.329,54315.699,6901.63,2.697,186.406
14973,p21053,2,55373,265.781,114114.691,115731.459,-1616.768,16.886,167.111
14974,p21055,2,53072,424.686,48663.365,55157.68,-6494.315,2.269,147.821
14975,p21055,2,53450,487.324,127557.79800000001,127760.941,-203.143,23.041,200.949
14976,p21055,2,53451,868.521,83994.159,87331.409,-3337.25,6.395,165.672
14977,p21055,2,53452,670.181,69392.62700000001,62822.137,6570.49,3.287,157.329
14978,p21055,2,53453,552.672,105884.333,110238.906,-4354.573,11.368,125.001
14979,p21055,2,53831,791.832,86413.134,84504.478,1908.656,6.54,178.789
14980,p21055,2,53832,758.796,90628.90900000001,76972.142,13656.767,5.226,174.884
14981,p21057,2,54612,187.044,22368.835,41743.763,-19374.928,0.667,154.087
14982,p21057,2,54991,93.863,68130.09199999999,83563.98,-15433.888,8.806,142.305
14983,p21057,2,54992,96.173,37705.575000000004,39649.866,-1944.291,0.435,165.14
14984,p21057,2,54993,216.775,89874.666,100038.096,-10163.43,13.223,183.088
14985,p21057,2,55372,164.742,89186.92099999999,103706.559,-14519.638,11.273,167.111
14986,p21059,2,51179,167.247,129572.916,106569.259,23003.657,16.777,48.019
14987,p21059,2,51557,72.29,38886.096,27403.509,11482.587,1.596,63.828
14988,p21059,2,51558,188.744,276320.31,56422.769,219897.541,2.756,8.336
14989,p21059,2,51559,161.97,304667.409,39322.227,265345.182,0.525,19.87
14990,p21059,2,51560,487.902,62623.643,42352.042,20271.601,0.816,35.992
14991,p21059,2,51937,488.658,108604.84,86963.629,21641.211,11.043,63.828
14992,p21059,2,51938,126.325,744315.939,38391.524,705924.415,0.435,47.919
14993,p21059,2,51939,144.987,644888.3049999999,44539.538,600348.767,1.207,27.428
14994,p21059,2,51940,350.087,117164.436,64549.237,52615.199,7.223,28.843
14995,p21059,2,52318,387.783,101550.512,73154.175,28396.337,5.444,43.377
14996,p21059,2,52319,349.749,89132.65599999999,51566.814,37565.842,2.039,39.029
14997,p21061,2,53464,548.949,125854.931,140930.147,-15075.216,22.266,20.964
14998,p21061,2,53465,340.575,160733.301,157311.805,3421.496,16.618,133.222
14999,p21061,2,53466,542.366,244298.66999999998,253361.023,-9062.353,18.151,139.603
15000,p21061,2,53845,308.625,170231.266,169291.642,939.624,17.645,15.665
15001,p21061,2,53846,851.158,176085.448,180706.804,-4621.356,22.374,16.227
15002,p21063,1,48926,140.487,241137.507,265600.569,-24463.062,12.069,361.768
15003,p21063,1,48927,87.796,254736.628,277492.255,-22755.627,16.274,376.297
15004,p21063,1,48928,80.492,480913.954,506810.955,-25897.001,27.222,376.297
15005,p21063,1,49306,99.422,55826.092,81351.522,-25525.43,1.416,370.775
15006,p21063,1,49307,50.594,125294.828,150369.528,-25074.7,3.678,381.071
15007,p21065,1,50821,106.611,166545.364,173152.028,-6606.664,7.589,391.864
15008,p21065,1,50822,76.215,19926.309,43042.692,-23116.383,0.217,312.028
15009,p21065,1,51201,50.841,83983.595,69484.86,14498.735,4.234,383.192
15010,p21065,1,51202,17.924,88796.774,111326.191,-22529.417,1.543,376.482
15011,p21065,1,51581,18.808,230394.706,254115.16,-23720.454,16.243,383.192
15012,p21067,2,49676,223.814,452088.996,89747.533,362341.463,4.001,209.77
15013,p21067,2,49677,187.434,1594272.551,84925.174,1509347.377,4.392,221.325
15014,p21067,2,50056,232.313,1163360.2389999998,62033.819,1101326.42,3.356,219.278
15015,p21067,2,50057,56.55,6197571.797,71774.871,6125796.926,1.155,240.908
15016,p21067,2,50058,265.227,772582.583,47003.79,725578.793,0.906,243.01
15017,p21067,2,50438,290.13,378683.164,179125.3,199557.864,10.359,253.182
15018,p21069,1,48161,412.903,107465.164,104134.209,3330.955,4.572,250.688
15019,p21069,1,48162,475.503,81454.846,51017.908,30436.938,0.996,258.04
15020,p21069,1,48163,215.793,144398.865,159455.205,-15056.34,4.578,268.616
15021,p21069,1,48541,220.937,170106.797,185265.16,-15158.363,7.515,258.394
15022,p21069,1,48542,627.191,129576.56599999999,141559.822,-11983.256,8.095,263.185
15023,p21069,1,48543,221.428,63133.96399999999,76239.438,-13105.474,3.843,276.305
15024,p21069,1,48923,288.741,158282.418,164962.238,-6679.82,14.439,276.305
15025,p21071,1,50829,7.213,131713.228,154217.295,-22504.067,2.182,45.24
15026,p21071,1,50831,29.285,99264.939,122388.533,-23123.594,3.185,36.618
15027,p21071,1,51211,19.052,157857.38400000002,132303.121,25554.263,3.551,28.012
15028,p21073,1,48914,222.104,120114.715,114718.147,5396.568,5.156,181.018
15029,p21073,1,49294,176.825,369292.227,80464.424,288827.803,4.488,186.074
15030,p21073,1,49295,382.691,187234.689,48689.969,138544.72,0.885,193.191
15031,p21073,2,49674,292.098,349829.971,104884.081,244945.89,2.722,237.83
15032,p21075,2,56863,83.613,76425.39,83692.999,-7267.609,18.535,317.853
15033,p21075,2,56864,255.401,68465.639,67794.549,671.09,6.791,317.853
15034,p21075,2,56865,291.646,48517.38,43341.189,5176.191,5.624,317.853
15035,p21075,2,56866,557.545,62575.657,61609.312,966.345,9.733,296.81
15036,p21077,1,47014,208.566,106704.801,57395.247,49309.554,0.922,150.641
15037,p21077,1,47393,281.649,116929.94200000001,74221.914,42708.028,1.446,131.991
15038,p21077,1,47394,260.337,106996.89499999999,90672.832,16324.063,2.787,147.153
15039,p21079,1,51577,459.258,118271.527,74826.264,43445.263,2.803,323.46
15040,p21079,1,51578,532.565,143735.176,135686.381,8048.795,7.372,372.517
15041,p21079,1,51958,250.278,200800.14899999998,200048.077,752.072,15.492,376.81
15042,p21079,2,51196,224.215,159893.20799999998,39989.899,119903.309,0.255,330.801
15043,p21079,2,51197,160.127,169940.63199999998,167134.745,2805.887,6.878,335.677
15044,p21081,1,47395,319.684,205743.048,127178.65,78564.398,5.525,161.374
15045,p21081,1,47775,239.3,114949.474,106593.588,8355.886,3.597,163.203
15046,p21081,1,47776,266.234,132708.376,105180.188,27528.188,3.672,175.794
15047,p21081,1,48156,326.047,196679.588,185109.663,11569.925,9.949,184.385
15048,p21083,2,55347,450.474,63481.818,61931.981,1549.837,4.926,251.61
15049,p21083,2,55348,457.245,77766.197,64372.168,13394.029,5.112,210.626
15050,p21083,2,55349,394.523,70802.635,63541.451,7261.184,4.963,200.139
15051,p21083,2,55727,714.325,59622.016,57866.296,1755.72,4.364,263.046
15052,p21083,2,55728,524.836,56337.625,44179.112,12158.513,5.612,233.133
15053,p21083,2,55729,587.021,59398.766,55684.724,3714.042,7.853,212.562
15054,p21083,2,56108,529.141,132860.392,52889.152,79971.24,7.899,233.133
15055,p21083,2,56109,571.404,48023.304000000004,38182.855,9840.449,0.509,220.511
15056,p21083,2,56488,745.724,77342.90400000001,75829.558,1513.346,15.167,286.705
15057,p21083,2,56489,283.203,50351.888,44795.267,5556.621,1.71,233.371
15058,p21083,2,56868,871.764,86007.54299999999,89956.734,-3949.191,12.437,300.858
15059,p21083,2,56869,978.469,66716.185,74287.217,-7571.032,7.85,241.013
15060,p21085,2,52323,235.632,117705.45,114341.917,3363.533,11.994,75.978
15061,p21085,2,52325,353.559,106906.036,109966.15,-3060.114,11.814,136.702
15062,p21085,2,52703,328.684,105791.069,119651.327,-13860.258,12.02,109.641
15063,p21085,2,52704,302.338,65778.44499999999,61352.477,4425.968,2.958,131.034
15064,p21085,2,52705,289.152,143428.314,83911.171,59517.143,6.183,136.522
15065,p21085,2,52706,387.118,87638.717,96368.849,-8730.132,8.054,144.649
15066,p21085,2,53083,439.52,24205.71,35977.612,-11771.902,0.09,108.703
15067,p21085,2,53084,385.474,22622.068,34712.763,-12090.695,2.322,122.53
15068,p21085,2,53085,195.396,39484.083,38848.555,635.528,2.759,133.222
15069,p21085,2,53086,165.23,72610.524,68021.481,4589.043,4.041,145.496
15070,p21087,2,52710,528.692,167691.74599999998,174341.664,-6649.918,13.732,189.285
15071,p21087,2,53090,313.104,157260.109,153375.51,3884.599,7.366,179.275
