,ba,nercr,transreg,transgrp,cendiv,st,interconnect,st_interconnect,country,usda_region,h2ptcreg,hurdlereg,aggreg,transmiso
105,p106,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,IN,MISO_Central
106,p107,MISO,MISO,MISO_Central,East_North_Central,IN,eastern,IN,USA,corn-belt,Midwest,MISO,IN,MISO_Central
107,p108,MISO,MISO,MISO_Central,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,MISO,KY_MISO,MISO_Central
108,p109,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,KY_PJM,PJM
109,p110,PJM,PJM,PJM_East,East_South_Central,KY,eastern,KY,USA,appalachia,MidAtlantic,PJM,KY_PJM,PJM
110,p111,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
111,p112,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
112,p113,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
113,p114,PJM,PJM,PJM_East,East_North_Central,OH,eastern,OH,USA,corn-belt,MidAtlantic,PJM,OH,PJM
114,p115,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
115,p116,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,WV,PJM
116,p117,PJM,PJM,PJM_East,South_Atlantic,WV,eastern,WV,USA,appalachia,MidAtlantic,PJM,WV,PJM
117,p118,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,VA,PJM
118,p119,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
119,p120,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
120,p121,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,MD,PJM
121,p122,PJM,PJM,PJM_East,Mid_Atlantic,PA,eastern,PA,USA,northeast,MidAtlantic,PJM,PA,PJM
122,p123,PJM,PJM,PJM_East,South_Atlantic,MD,eastern,MD,USA,northeast,MidAtlantic,PJM,MD,PJM
123,p124,PJM,PJM,PJM_East,South_Atlantic,VA,eastern,VA,USA,appalachia,MidAtlantic,PJM,VA,PJM
124,p125,PJM,PJM,PJM_East,South_Atlantic,DE,eastern,DE,USA,northeast,MidAtlantic,PJM,DE,PJM
125,p126,PJM,PJM,PJM_East,Mid_Atlantic,NJ,eastern,NJ,USA,northeast,MidAtlantic,PJM,NJ,PJM
126,p127,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,NY_UP,NYISO
127,p128,NPCC_NY,NYISO,NYISO,Mid_Atlantic,NY,eastern,NY,USA,northeast,NewYork,NYISO,NY_NYCLI,NYISO
128,p129,NPCC_NE,ISONE,ISONE,New_England,VT,eastern,VT,USA,northeast,NewEngland,ISONE,VT,ISONE
129,p130,NPCC_NE,ISONE,ISONE,New_England,NH,eastern,NH,USA,northeast,NewEngland,ISONE,NH,ISONE
130,p131,NPCC_NE,ISONE,ISONE,New_England,MA,eastern,MA,USA,northeast,NewEngland,ISONE,MA,ISONE
131,p132,NPCC_NE,ISONE,ISONE,New_England,CT,eastern,CT,USA,northeast,NewEngland,ISONE,CT,ISONE
132,p133,NPCC_NE,ISONE,ISONE,New_England,RI,eastern,RI,USA,northeast,NewEngland,ISONE,RI,ISONE
133,p134,NPCC_NE,ISONE,ISONE,New_England,ME,eastern,ME,USA,northeast,NewEngland,ISONE,ME,ISONE
134,p135,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX,MEX,MEX,CAISO
135,p136,nrn5,CAISO,CAISO,Pacific,MEX,western,MEX,MEX,other,MEX,MEX,MEX,CAISO
136,p137,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,CAN,CAN
137,p138,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,CAN,CAN
138,p139,nrn20,CAN,CAN,Pacific,BC,western,BC,CAN,other,CAN,CAN,CAN,CAN
139,p140,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN,CAN,CAN,CAN
140,p141,nrn21,CAN,CAN,Mountain,AB,western,AB,CAN,other,CAN,CAN,CAN,CAN
141,p142,nrn22,CAN,CAN,West_North_Central,SK,eastern,SK,CAN,other,CAN,CAN,CAN,CAN
142,p143,nrn23,CAN,CAN,West_North_Central,MB,eastern,MB,CAN,other,CAN,CAN,CAN,CAN
143,p144,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
144,p145,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
145,p146,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
146,p147,nrn24,CAN,CAN,Mid_Atlantic,ON,eastern,ON,CAN,other,CAN,CAN,CAN,CAN
147,p148,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
148,p149,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
149,p150,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
150,p151,nrn25,CAN,CAN,New_England,QC,quebec,QC,CAN,other,CAN,CAN,CAN,CAN
151,p152,nrn26,CAN,CAN,New_England,NB,eastern,NB,CAN,other,CAN,CAN,CAN,CAN
152,p153,nrn26,CAN,CAN,New_England,NS,eastern,NS,CAN,other,CAN,CAN,CAN,CAN
153,p154,nrn24,CAN,CAN,New_England,NL,quebec,NL,CAN,other,CAN,CAN,CAN,CAN
154,p155,nrn24,CAN,CAN,New_England,NFI,quebec,NFI,CAN,other,CAN,CAN,CAN,CAN
